Trace ID,Amplitude Range,Start time,End time,Similarity
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:04:09.993000Z,2020-10-04T07:10:54.993000Z,0.842035
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:04:14.993000Z,2020-10-04T07:10:59.993000Z,0.839612
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:04:19.993000Z,2020-10-04T07:11:04.993000Z,0.836370
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:04:24.993000Z,2020-10-04T07:11:09.993000Z,0.832309
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:04:29.993000Z,2020-10-04T07:11:14.993000Z,0.827435
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:04:34.993000Z,2020-10-04T07:11:19.993000Z,0.821752
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:04:39.993000Z,2020-10-04T07:11:24.993000Z,0.815265
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:04:44.993000Z,2020-10-04T07:11:29.993000Z,0.807981
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:11:29.993000Z,2020-10-04T07:18:14.993000Z,-0.806212
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:11:34.993000Z,2020-10-04T07:18:19.993000Z,-0.813995
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:11:39.993000Z,2020-10-04T07:18:24.993000Z,-0.820981
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:11:44.993000Z,2020-10-04T07:18:29.993000Z,-0.827164
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:11:49.993000Z,2020-10-04T07:18:34.993000Z,-0.832537
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:11:54.993000Z,2020-10-04T07:18:39.993000Z,-0.837095
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:11:59.993000Z,2020-10-04T07:18:44.993000Z,-0.840833
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:12:04.993000Z,2020-10-04T07:18:49.993000Z,-0.843748
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:12:09.993000Z,2020-10-04T07:18:54.993000Z,-0.845837
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:12:14.993000Z,2020-10-04T07:18:59.993000Z,-0.847098
